Membership No  Date Joined  Active  
    46270      2020-8-16    no    
    12220      2018-6-9     no    
    56025      2019-6-7     no    
    69069      2018-6-8     no    
    73714      2016-3-6     no    
    76626      2019-1-2     no    
    76912      2020-12-10   no    
    13790      2018-5-2     no    
    40947      2020-6-13    no    
    38142      2020-6-22    no    
    81232      2019-7-25    no    
    18699      2015-5-1     no    
    64137      2018-5-12    no    
    56217      2020-8-25    no    
    11396      2020-5-8     no    
    82543      2018-6-9     no    
